test_name, test_tag, generator, container, capacity, duration, threads, throughput, thread_throughput, hit_rate, pull_threshold, purge_threshold
19:43:16, GCP1, trace:traces/P4.blis, LRU, 5146, 60.0249, 1, 1.28113e+07, 1.28113e+07, 0.0341268, 0.001, 0.001
19:43:16, GCP1, trace:traces/P4.blis, HHVM, 5146, 60.0779, 1, 3.31237e+06, 3.31237e+06, 0.0341054, 0.001, 0.001
19:43:16, GCP1, trace:traces/P4.blis, LRU, 5146, 60.9257, 32, 829252, 25914.1, 0.00714029, 0.001, 0.001
19:43:16, GCP1, trace:traces/P4.blis, HHVM, 5146, 60.3584, 32, 1.43211e+07, 447535, 0.00619843, 0.001, 0.001
19:43:16, GCP1, trace:traces/P8.blis, LRU, 97754, 60.1015, 1, 8.5522e+06, 8.5522e+06, 0.506205, 0.001, 0.001
19:43:16, GCP1, trace:traces/P8.blis, HHVM, 97754, 60.0701, 1, 1.91443e+06, 1.91443e+06, 0.503679, 0.001, 0.001
19:43:16, GCP1, trace:traces/P8.blis, LRU, 97754, 60.637, 32, 935549, 29235.9, 0.492838, 0.001, 0.001
19:43:16, GCP1, trace:traces/P8.blis, HHVM, 97754, 60.7734, 32, 1.93983e+07, 606197, 0.458869, 0.001, 0.001
19:43:16, GCP1, trace:traces/P8.blis, LRU, 977, 60.0296, 1, 1.38765e+07, 1.38765e+07, 0.00337409, 0.001, 0.001
19:43:16, GCP1, trace:traces/P8.blis, HHVM, 977, 60.0403, 1, 3.34775e+06, 3.34775e+06, 0.00318629, 0.001, 0.001
19:43:16, GCP1, trace:traces/P8.blis, LRU, 977, 61.2544, 32, 751946, 23498.3, 0.00660384, 0.001, 0.001
19:43:16, GCP1, trace:traces/P8.blis, HHVM, 977, 61.3382, 32, 1.4645e+07, 457658, 0.00695119, 0.001, 0.001
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.2876, 1, 2.4549e+06, 2.4549e+06, 0.828523, 0.001, 0.001
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.221, 1, 2.60706e+06, 2.60706e+06, 0.8272, 0.01, 0.001
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.0438, 1, 2.64807e+06, 2.64807e+06, 0.82805, 0.1, 0.001
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 68.2166, 1, 410457, 410457, 0.845896, 0.4, 0.001
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 64.6922, 1, 216410, 216410, 0.838449, 0.7, 0.001
