	0.001	0.01	0.1	0.4	0.7	0.9
0.001	0.477298	0.4754435	0.474538	0.4549935	0.431227	0.4215935
0.01	0.4738265	0.470459	0.4728355	0.4569665	0.439822	0.4223425
0.1	0.4731785	0.4766765	0.477091	0.452291	0.433355	0.4286475
0.4	0.47565	0.480179	0.476916	0.461561	0.436821	0.4359385
0.7	0.457792	0.4848375	0.493939	0.470634	0.459101	0.4594775
0.9	0.431811	0.496849	0.484033	0.4662455	0.4577235	0.463377
