	0.001	0.01	0.1	0.4	0.7	0.9
0.001	116057	119066.5	129730.5	118787.5	123174	135330
0.01	118326.5	116892.5	118170	125115.5	129608	131198.5
0.1	118135	120715.5	115456	121147	125234	131118.5
0.4	13383.5	47349.1	102676.65	116775.5	123647.5	130046.5
0.7	6560.135	24255.65	76849.25	112072.5	130307	135112
0.9	6591.75	22291.45	71180	110759.5	128637	131661.5
