	0.001	0.01	0.1	0.4	0.7	0.9
0.001	5859070	5894850	6017700	6132815	6223800	6279100
0.01	5847885	5897790	6011540	6136855	6221565	6287865
0.1	5611290	5710420	5939855	6110075	6204580	6255830
0.4	4284560	4622880	5592385	5984770	6110290	6153855
0.7	3074100	3531785	5113615	5806125	5893125	5906155
0.9	2529150	2955005	4817075	5291075	5351670	5337420
