	0.001	0.01	0.1	0.4	0.7	0.9
0.001	6556840	6555665	6665780	6819230	6936610	6974625
0.01	6810980	6904425	6992390	7129560	7264675	7325515
0.1	6990530	7109335	7247645	7389935	7606500	7693240
0.4	1759045	3953525	6789075	7531100	7849105	7889640
0.7	1086730	2852330	6386585	7403300	7569025	7539845
0.9	844170.5	2365225	6001130	6788465	6866090	6904420
