	0.001	0.01	0.1	0.4	0.7	0.9
0.001	3795115	3820560	3464265	3237080	3235365	3183405
0.01	3679780	3749675	3487995	3272595	3101835	3241805
0.1	3192770	3587810	3365025	3188845	3019120	3176415
0.4	695502	2236050	2977965	3192745	3147100	3229530
0.7	163697.5	861786.5	2368920	2915345	2993780	3063095
0.9	110524.5	560621	1742985	2157030	2316380	2255470
