	0.001	0.01	0.1	0.4	0.7	0.9
0.001	0.33512400000000003	0.334979	0.329652	0.30588550000000003	0.281366	0.25439849999999997
0.01	0.303978	0.304147	0.299414	0.2855965	0.267642	0.241502
0.1	0.317886	0.319106	0.31170400000000004	0.295201	0.27370649999999996	0.254772
0.4	0.368446	0.362028	0.359459	0.338716	0.3100095	0.30110200000000004
0.7	0.397691	0.39961349999999995	0.3939155	0.364997	0.3453695	0.34436100000000003
0.9	0.41336999999999996	0.428791	0.41985900000000004	0.398066	0.38162399999999996	0.369583
