	0.001	0.01	0.1	0.4	0.7	0.9
0.001	24714	26469.6	26619.2	25243.85	26587.05	26496.25
0.01	25120.8	26598.2	26097.05	28025.8	26363.9	26848.7
0.1	23409.75	24385.6	26807.9	25828.8	27598.3	27188.65
0.4	14305.2	20257	24940.2	25996.35	25802.75	26108.85
0.7	9563.45	15875.2	24546.2	26369.25	26182.8	25891.3
0.9	6787.21	13170.45	23088.05	25738.6	25384.5	25549.65
