	0.001	0.01	0.1	0.4	0.7	0.9
0.001	51401.45	53849.7	58651	58322.6	60294.15	58491.55
0.01	52893.85	53087.7	58147.5	58967.35	59537.6	55334.5
0.1	55646.95	55655.85	58489	59751.7	61559.6	56645.15
0.4	26689.8	42745.05	58478.9	61188.55	62072.25	59212
0.7	17409.95	36205.45	56327.55	62563.5	60763.5	59769.05
0.9	13669.85	30797.25	52165.85	60929.35	61622.1	61982
