	0.001	0.01	0.1	0.4	0.7	0.9
0.001	2035085	1948075	1878745	1962870	2053065	2099025
0.01	1955640	1899440	1852000	1944065	2024930	2071160
0.1	1174920	1715445	1804240	1907685	2000680	2048795
0.4	278312.5	884076	1702275	1933375	2051055	2067525
0.7	141567	490099	1377905	1841795	1889745	1910915
0.9	112677.5	393944	1320885	1648960	1734185	1727115
