	0.001	0.01	0.1	0.4	0.7	0.9
0.001	2456255	2362135	2393305	2514220	2680345	2751810
0.01	2559660	2485910	2511585	2670750	2831080	2906610
0.1	2642575	2576610	2619035	2783945	2956095	3014380
0.4	409730	1319645	2451355	2822575	3065550	3075915
0.7	216411	745031	2048675	2715335	2834635	2823865
0.9	216134.5	667367	1923015	2431530	2491190	2509500
