	0.001	0.01	0.1	0.4	0.7	0.9
0.00	0.568114	0.5686025	0.5705245	0.573187	0.575643	0.576561
0.01	0.5684125	0.5684975	0.5704095	0.573213	0.5755835	0.5760645
0.10	0.5724515	0.5724595	0.573395	0.5749585	0.5757565	0.576126
0.40	0.595709	0.5923125	0.5938805	0.5942995	0.594431	0.59439
0.70	0.6109715	0.60617	0.606782	0.6072985	0.607216	0.6070305
0.90	0.617767	0.6134265	0.6139995	0.614684	0.6147085	0.6147145
